id,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pekerjaan,jumlah_korban,satuan,tahun
88,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TIDAK BEKERJA,2,ORANG,2018
89,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,BEKERJA,0,ORANG,2018
90,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,IBU RUMAH TANGGA,0,ORANG,2018
91,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,NA,12,ORANG,2018
92,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
93,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PELAJAR,4,ORANG,2018
94,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PNS/TNI/POLRI,1,ORANG,2018
95,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
96,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TIDAK BEKERJA,2,ORANG,2018
97,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,BEKERJA,0,ORANG,2018
98,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
99,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,NA,0,ORANG,2018
100,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
101,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PELAJAR,0,ORANG,2018
102,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
103,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
104,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
105,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,BEKERJA,0,ORANG,2018
106,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
107,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,NA,1,ORANG,2018
108,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
109,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PELAJAR,0,ORANG,2018
110,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PNS/TNI/POLRI,1,ORANG,2018
111,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SWASTA/BURUH,1,ORANG,2018
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,TIDAK BEKERJA,1,ORANG,2018
113,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,BEKERJA,0,ORANG,2018
114,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,NA,0,ORANG,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
117,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PELAJAR,5,ORANG,2018
118,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
120,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,BEKERJA,0,ORANG,2018
122,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,IBU RUMAH TANGGA,0,ORANG,2018
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,NA,0,ORANG,2018
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
125,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PELAJAR,9,ORANG,2018
126,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
127,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
128,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TIDAK BEKERJA,2,ORANG,2018
129,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,BEKERJA,0,ORANG,2018
130,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
131,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,NA,0,ORANG,2018
132,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
133,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PELAJAR,1,ORANG,2018
134,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
135,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
136,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TIDAK BEKERJA,1,ORANG,2018
137,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,BEKERJA,0,ORANG,2018
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,NA,1,ORANG,2018
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
141,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PELAJAR,12,ORANG,2018
142,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TIDAK BEKERJA,1,ORANG,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,BEKERJA,0,ORANG,2018
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
147,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,NA,0,ORANG,2018
148,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
149,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PELAJAR,3,ORANG,2018
150,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
151,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
152,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
153,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,BEKERJA,0,ORANG,2018
154,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
155,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,NA,1,ORANG,2018
156,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
157,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PELAJAR,7,ORANG,2018
158,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
159,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
160,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
161,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,BEKERJA,0,ORANG,2018
162,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
163,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,NA,1,ORANG,2018
164,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
165,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PELAJAR,1,ORANG,2018
166,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
167,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
168,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
169,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,BEKERJA,0,ORANG,2018
170,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
171,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,NA,9,ORANG,2018
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PELAJAR,2,ORANG,2018
174,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
175,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
176,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
177,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,BEKERJA,0,ORANG,2018
178,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
179,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,NA,0,ORANG,2018
180,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
181,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PELAJAR,1,ORANG,2018
182,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
183,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
184,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,BEKERJA,0,ORANG,2018
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,IBU RUMAH TANGGA,1,ORANG,2018
187,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,NA,0,ORANG,2018
188,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
189,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PELAJAR,3,ORANG,2018
190,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
191,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
192,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
193,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,BEKERJA,0,ORANG,2018
194,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
195,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,NA,0,ORANG,2018
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
197,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PELAJAR,9,ORANG,2018
198,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,BEKERJA,2,ORANG,2018
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,IBU RUMAH TANGGA,9,ORANG,2018
203,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,NA,0,ORANG,2018
204,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
205,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PELAJAR,26,ORANG,2018
206,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
207,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SWASTA/BURUH,0,ORANG,2018
208,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TIDAK BEKERJA,3,ORANG,2018
209,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,BEKERJA,0,ORANG,2018
210,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,IBU RUMAH TANGGA,0,ORANG,2018
211,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,NA,1,ORANG,2018
212,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
213,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PELAJAR,2,ORANG,2018
214,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PNS/TNI/POLRI,0,ORANG,2018
215,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SWASTA/BURUH,0,ORANG,2018
216,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TIDAK BEKERJA,0,ORANG,2018
217,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,BEKERJA,3,ORANG,2018
218,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,IBU RUMAH TANGGA,2,ORANG,2018
219,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,NA,2,ORANG,2018
220,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,PEDAGANG/TANI/NELAYAN,0,ORANG,2018
221,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,PELAJAR,6,ORANG,2018
222,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,PNS/TNI/POLRI,0,ORANG,2018
223,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SWASTA/BURUH,1,ORANG,2018
224,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,TIDAK BEKERJA,0,ORANG,2018
225,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,BEKERJA,0,ORANG,2018
226,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,IBU RUMAH TANGGA,1,ORANG,2018
227,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,NA,0,ORANG,2018
